County,target_year,Predicted_Crime_Rate_per_100k,Population_Projected,Total_Crimes_Projected
Otsego,2026,837.3487206977063,59592.99999999999,554.6799999999857
Putnam,2026,518.3412168971564,98256.5,520.2200000000239
Queens,2026,3844.75786584735,2339773.500000015,69357.18000000343
Rensselaer,2026,1691.010822860344,161617.00000000035,3011.4000000001106
Richmond,2026,1625.9277550797938,509520.0000000037,10854.980000000913
Rockland,2026,1243.7988119833944,359609.50000000186,5347.240000000107
Saratoga,2026,1200.2598727187137,245883.5000000028,2889.760000000155
Schenectady,2026,2518.089774718006,165848.50000000186,4826.580000000133
Schoharie,2026,558.1395938722485,31188.999999999993,142.01999999997497
Schuyler,2026,356.0100849322646,17845.0,90.1000000000131
Seneca,2026,1224.1162063004947,34294.99999999998,533.5800000000072
Steuben,2026,1217.7206043294145,90100.9999999986,1358.740000000107
Suffolk,2026,1224.419770354417,1563181.500000015,21733.060000000754
Sullivan,2026,1010.0130041708344,83010.50000000093,864.3999999999924
Tioga,2026,482.2908367370653,48430.99999999999,153.47999999999593
Tompkins,2026,1978.5100603407698,107284.50000000047,2099.6600000000617
Ulster,2026,932.6693446143713,185280.00000000047,1601.0999999999622
Warren,2026,1291.6535105887783,65838.50000000023,1037.1200000000754
Washington,2026,592.9463535023511,61303.99999999999,481.4200000000201
Wayne,2026,1196.5457066594743,91084.00000000015,1151.7000000000698
Westchester,2026,1194.4088487344186,1025301.5000000075,12917.400000000605
Wyoming,2026,554.0554685656393,40027.0,213.2199999999939
Yates,2026,516.112517804294,24981.0,148.87999999999738
Albany,2027,2985.0127636208786,330313.2500000037,10588.366000001028
Allegany,2027,573.3528074334472,46304.0,384.3739999999998
Bronx,2027,4041.5981785434956,1352974.999999985,63634.01200000569
Broome,2027,2448.600639656478,199663.25000000256,5043.898000000012
Cattaraugus,2027,1485.115543162937,74518.74999999977,1400.1020000001445
Cayuga,2027,694.702187751673,72773.7499999993,401.04599999968195
Chautauqua,2027,1557.3470873535935,121495.74999999837,1814.355999999796
Chemung,2027,2465.256601530178,78864.9999999993,2023.716000000073
Chenango,2027,511.8255864087223,47526.99999999999,98.58599999989383
Clinton,2027,1591.5392961534365,76034.2499999986,1720.734000000055
Columbia,2027,603.1580792825391,60016.00000000001,380.98399999990943
Cortland,2027,1950.2396452034207,47618.0,1190.7060000001038
Delaware,2027,558.1395938722485,44675.999999999985,243.9539999999688
Dutchess,2027,1201.3241936326554,304792.2500000028,3620.5320000000283
Erie,2027,3118.4066951479986,974398.7500000093,30100.796000001486
Essex,2027,550.5848556093009,37280.999999999985,257.65200000000186
Franklin,2027,1142.4056875696697,50388.99999999998,486.58200000000943
Fulton,2027,907.1036781550557,53451.99999999999,477.5059999998484
Genesee,2027,1194.702872567279,57554.0,748.7120000000286
Greene,2027,556.375354798478,47335.00000000001,185.48199999990175
