County,Year,Total_Crimes,Population,Crime_Rate_per_100k,rate_lag1,rate_lag2,rate_diff_1y,target_rate_tplus2,target_year
Greene,2023,430,47335.0,908.418717650787,1252.772789690504,1256.9979930284146,-4.225203337910671,,2025
Greene,2024,379,47335.0,800.6760325340657,908.418717650787,1252.772789690504,-344.3540720397169,,2026
Hamilton,2010,52,4760.0,1092.436974789916,,,,1701.6806722689075,2012
Hamilton,2011,58,4760.0,1218.4873949579833,1092.436974789916,,,1302.5210084033613,2013
Hamilton,2012,81,4760.0,1701.6806722689075,1218.4873949579833,1092.436974789916,126.05042016806738,1302.5210084033613,2014
Hamilton,2013,62,4760.0,1302.5210084033613,1701.6806722689075,1218.4873949579833,483.19327731092426,903.3613445378152,2015
Hamilton,2014,62,4760.0,1302.5210084033613,1302.5210084033613,1701.6806722689075,-399.15966386554624,1149.2295905337533,2016
Hamilton,2015,43,4760.0,903.3613445378152,1302.5210084033613,1302.5210084033613,0.0,776.2635846127307,2017
Hamilton,2016,54,4698.8,1149.2295905337533,903.3613445378152,1302.5210084033613,-399.1596638655461,1005.1568918800805,2018
Hamilton,2017,36,4637.6,776.2635846127307,1149.2295905337533,903.3613445378152,245.86824599593808,642.2749822820695,2019
Hamilton,2018,46,4576.4,1005.1568918800805,776.2635846127307,1149.2295905337533,-372.96600592102254,1032.77952402335,2020
Hamilton,2019,29,4515.2,642.2749822820695,1005.1568918800805,776.2635846127307,228.89330726734977,628.6484059272564,2021
Hamilton,2020,46,4454.0,1032.77952402335,642.2749822820695,1005.1568918800805,-362.881909598011,673.551863493489,2022
Hamilton,2021,28,4454.0,628.6484059272564,1032.77952402335,642.2749822820695,390.5045417412805,696.0035922766052,2023
Hamilton,2022,30,4454.0,673.551863493489,628.6484059272564,1032.77952402335,-404.1311180960936,471.48630444544233,2024
Hamilton,2023,31,4454.0,696.0035922766052,673.551863493489,628.6484059272564,44.903457566232646,,2025
Hamilton,2024,21,4454.0,471.48630444544233,696.0035922766052,673.551863493489,22.45172878311621,,2026
Herkimer,2010,1374,64034.0,2145.735078239685,,,,2044.2265046693944,2012
Herkimer,2011,1362,64034.0,2126.995033888247,2145.735078239685,,,1858.3877315176314,2013
Herkimer,2012,1309,64034.0,2044.2265046693944,2126.995033888247,2145.735078239685,-18.740044351438428,1753.7558172221006,2014
Herkimer,2013,1190,64034.0,1858.3877315176314,2044.2265046693944,2126.995033888247,-82.76852921885234,1594.4654402348751,2015
Herkimer,2014,1123,64034.0,1753.7558172221006,1858.3877315176314,2044.2265046693944,-185.838773151763,1742.828919634824,2016
Herkimer,2015,1021,64034.0,1594.4654402348751,1753.7558172221006,1858.3877315176314,-104.6319142955308,1841.066234021383,2017
Herkimer,2016,1108,63574.8,1742.828919634824,1594.4654402348751,1753.7558172221006,-159.2903769872255,1281.5929418223836,2018
Herkimer,2017,1162,63115.6,1841.066234021383,1742.828919634824,1594.4654402348751,148.3634793999488,1257.2913250114152,2019
Herkimer,2018,803,62656.4,1281.5929418223836,1841.066234021383,1742.828919634824,98.23731438655909,1459.3929184618873,2020
Herkimer,2019,782,62197.2,1257.2913250114152,1281.5929418223836,1841.066234021383,-559.4732921989994,1451.294178625806,2021
Herkimer,2020,901,61738.0,1459.3929184618873,1257.2913250114152,1281.5929418223836,-24.301616810968426,1757.4265444296868,2022
Herkimer,2021,896,61738.0,1451.294178625806,1459.3929184618873,1257.2913250114152,202.10159345047214,1901.5841135119376,2023
Herkimer,2022,1085,61738.0,1757.4265444296868,1451.294178625806,1459.3929184618873,-8.09873983608145,2024.6849590203765,2024
Herkimer,2023,1174,61738.0,1901.5841135119376,1757.4265444296868,1451.294178625806,306.13236580388093,,2025
Herkimer,2024,1250,61738.0,2024.6849590203765,1901.5841135119376,1757.4265444296868,144.1575690822508,,2026
Jefferson,2010,2434,116582.0,2087.800861196411,,,,2481.9617452862294,2012
Jefferson,2011,2481,117055.0,2119.5164666182563,2087.800861196411,,,2035.575969695172,2013
Jefferson,2012,2917,117528.0,2481.9617452862294,2119.5164666182563,2087.800861196411,31.71560542184534,2137.177777402637,2014
Jefferson,2013,2402,118001.0,2035.575969695172,2481.9617452862294,2119.5164666182563,362.44527866797307,2137.9269758800137,2015
Jefferson,2014,2532,118474.0,2137.177777402637,2035.575969695172,2481.9617452862294,-446.3857755910574,2027.2732536160563,2016
Jefferson,2015,2543,118947.0,2137.9269758800137,2137.177777402637,2035.575969695172,101.60180770746479,1949.9818024696897,2017
Jefferson,2016,2381,117448.4,2027.2732536160563,2137.9269758800137,2137.177777402637,0.7491984773769218,1764.0706257339375,2018
Jefferson,2017,2261,115949.8,1949.9818024696897,2027.2732536160563,2137.9269758800137,-110.65372226395743,1663.5296575731766,2019
Jefferson,2018,2019,114451.2,1764.0706257339375,1949.9818024696897,2027.2732536160563,-77.29145114636663,1846.5016957668636,2020
Jefferson,2019,1879,112952.6,1663.5296575731766,1764.0706257339375,1949.9818024696897,-185.91117673575218,1654.5177451720888,2021
Jefferson,2020,2058,111454.0,1846.5016957668636,1663.5296575731766,1764.0706257339375,-100.54096816076094,1805.9253586471586,2022
Jefferson,2021,1851,111875.5,1654.5177451720888,1846.5016957668636,1663.5296575731766,182.972038193687,1729.9733406672374,2023
Jefferson,2022,2028,112297.0,1805.9253586471586,1654.5177451720888,1846.5016957668636,-191.9839505947748,1641.329326498144,2024
Jefferson,2023,1950,112718.5,1729.9733406672374,1805.9253586471586,1654.5177451720888,151.40761347506987,,2025
Jefferson,2024,1857,113140.0,1641.329326498144,1729.9733406672374,1805.9253586471586,-75.95201797992127,,2026
Kings,2010,57172,2508340.0,2279.276334149278,,,,2386.4503413068323,2012
Kings,2011,59014,2525723.8,2336.5183477306587,2279.276334149278,,,2306.4322731175744,2013
Kings,2012,60690,2543107.6,2386.4503413068323,2336.5183477306587,2279.276334149278,57.24201358138089,2199.4858401213523,2014
Kings,2013,59056,2560491.4,2306.4322731175744,2386.4503413068323,2336.5183477306587,49.93199357617368,2079.060317293958,2015
Kings,2014,56700,2577875.2,2199.4858401213523,2306.4322731175744,2386.4503413068323,-80.01806818925797,1960.2854094060824,2016
Kings,2015,53957,2595259.0,2079.060317293958,2199.4858401213523,2306.4322731175744,-106.94643299622203,1923.053292062743,2017
Kings,2016,50802,2591561.4,1960.2854094060824,2079.060317293958,2199.4858401213523,-120.42552282739416,1938.9619754333137,2018
Kings,2017,49766,2587863.8,1923.053292062743,1960.2854094060824,2079.060317293958,-118.77490788787577,1849.8578126468965,2019
Kings,2018,50106,2584166.2,1938.9619754333137,1923.053292062743,1960.2854094060824,-37.232117343339496,1976.8151690623654,2020
Kings,2019,47735,2580468.6,1849.8578126468965,1938.9619754333137,1923.053292062743,15.90868337057077,1951.150875961447,2021
Kings,2020,50938,2576771.0,1976.8151690623654,1849.8578126468965,1938.9619754333137,-89.10416278641719,2403.2025245639443,2022
Kings,2021,50476,2586986.0,1951.150875961447,1976.8151690623654,1849.8578126468965,126.9573564154689,2446.9819929002506,2023
Kings,2022,62416,2597201.0,2403.2025245639443,1951.150875961447,1976.8151690623654,-25.664293100918485,2371.8392699352967,2024
Kings,2023,63803,2607416.0,2446.9819929002506,2403.2025245639443,1951.150875961447,452.0516486024974,,2025
Kings,2024,62086,2617631.0,2371.8392699352967,2446.9819929002506,2403.2025245639443,43.77946833630631,,2026
Lewis,2010,462,27124.0,1703.288600501401,,,,1548.444182274001,2012
Lewis,2011,419,27124.0,1544.7574104114437,1703.288600501401,,,1224.008258368972,2013
Lewis,2012,420,27124.0,1548.444182274001,1544.7574104114437,1703.288600501401,-158.53119008995736,947.5003686771862,2014
Lewis,2013,332,27124.0,1224.008258368972,1548.444182274001,1544.7574104114437,3.6867718625571797,1039.669665241115,2015
Lewis,2014,257,27124.0,947.5003686771862,1224.008258368972,1548.444182274001,-324.43592390502886,874.3849665066098,2016
Lewis,2015,282,27124.0,1039.669665241115,947.5003686771862,1224.008258368972,-276.50788969178586,968.0974650740222,2017
Lewis,2016,236,26990.4,874.3849665066098,1039.669665241115,947.5003686771862,92.1692965639287,774.6078313974374,2018
Lewis,2017,260,26856.8,968.0974650740222,874.3849665066098,1039.669665241115,-165.28469873450513,609.2607636068238,2019
Lewis,2018,207,26723.2,774.6078313974374,968.0974650740222,874.3849665066098,93.71249856741247,563.199274266707,2020
Lewis,2019,162,26589.6,609.2607636068238,774.6078313974374,968.0974650740222,-193.48963367658484,502.72149984880554,2021
Lewis,2020,149,26456.0,563.199274266707,609.2607636068238,774.6078313974374,-165.34706779061355,718.1735712125794,2022
Lewis,2021,133,26456.0,502.72149984880554,563.199274266707,609.2607636068238,-46.06148934011685,646.3562140913215,2023
Lewis,2022,190,26456.0,718.1735712125794,502.72149984880554,563.199274266707,-60.47777441790146,665.2555185969156,2024
Lewis,2023,171,26456.0,646.3562140913215,718.1735712125794,502.72149984880554,215.45207136377388,,2025
Lewis,2024,176,26456.0,665.2555185969156,646.3562140913215,718.1735712125794,-71.81735712125794,,2026
Livingston,2010,1157,65333.0,1770.92740269083,,,,1835.0680741152516,2012
Livingston,2011,1074,65226.6,1646.567504668341,1770.92740269083,,,1673.4908588638102,2013
Livingston,2012,1195,65120.2,1835.0680741152516,1646.567504668341,1770.92740269083,-124.359898022489,1380.4281175952203,2014
Livingston,2013,1088,65013.8,1673.4908588638102,1835.0680741152516,1646.567504668341,188.50056944691073,1365.7196648199874,2015
Livingston,2014,896,64907.4,1380.4281175952203,1673.4908588638102,1835.0680741152516,-161.57721525144143,1375.526483924794,2016
Livingston,2015,885,64801.0,1365.7196648199874,1380.4281175952203,1673.4908588638102,-293.0627412685899,1260.756952864209,2017
Livingston,2016,887,64484.4,1375.526483924794,1365.7196648199874,1380.4281175952203,-14.7084527752329,996.0658531084772,2018
Livingston,2017,809,64167.8,1260.756952864209,1375.526483924794,1365.7196648199874,9.806819104806664,945.9412666484088,2019
Livingston,2018,636,63851.2,996.0658531084772,1260.756952864209,1375.526483924794,-114.769531060585,895.3146255813218,2020
Livingston,2019,601,63534.6,945.9412666484088,996.0658531084772,1260.756952864209,-264.6910997557319,838.3688190072447,2021
Livingston,2020,566,63218.0,895.3146255813218,945.9412666484088,996.0658531084772,-50.12458646006837,941.1876364326615,2022
Livingston,2021,530,63218.0,838.3688190072447,895.3146255813218,945.9412666484088,-50.62664106708701,1044.0064538580784,2023
Livingston,2022,595,63218.0,941.1876364326615,838.3688190072447,895.3146255813218,-56.945806574077096,855.768926571546,2024
Livingston,2023,660,63218.0,1044.0064538580784,941.1876364326615,838.3688190072447,102.8188174254168,,2025
Livingston,2024,541,63218.0,855.768926571546,1044.0064538580784,941.1876364326615,102.81881742541691,,2026
Madison,2010,1295,73439.0,1763.3682375849346,,,,1830.6492027022957,2012
Madison,2011,1285,73236.6,1754.5871872806765,1763.3682375849346,,,1587.2187698230716,2013
Madison,2012,1337,73034.2,1830.6492027022957,1754.5871872806765,1763.3682375849346,-8.781050304258088,1561.351188361738,2014
Madison,2013,1156,72831.8,1587.2187698230716,1830.6492027022957,1754.5871872806765,76.06201542161921,1397.2689742775483,2015
Madison,2014,1134,72629.4,1561.351188361738,1587.2187698230716,1830.6492027022957,-243.4304328792241,1429.1734359491873,2016
Madison,2015,1012,72427.0,1397.2689742775483,1561.351188361738,1587.2187698230716,-25.867581461333657,1370.8696463017138,2017
Madison,2016,1031,72139.6,1429.1734359491873,1397.2689742775483,1561.351188361738,-164.08221408418967,1321.8789125380074,2018
Madison,2017,985,71852.2,1370.8696463017138,1429.1734359491873,1397.2689742775483,31.904461671638956,1171.4793188303727,2019
Madison,2018,946,71564.8,1321.8789125380074,1370.8696463017138,1429.1734359491873,-58.30378964747342,1345.2598957599662,2020
Madison,2019,835,71277.4,1171.4793188303727,1321.8789125380074,1370.8696463017138,-48.99073376370643,1325.5154583955264,2021
Madison,2020,955,70990.0,1345.2598957599662,1171.4793188303727,1321.8789125380074,-150.39959370763472,1363.1556836783473,2022
Madison,2021,928,70010.5,1325.5154583955264,1345.2598957599662,1171.4793188303727,173.7805769295935,1309.3025135375412,2023
Madison,2022,941,69031.0,1363.1556836783473,1325.5154583955264,1345.2598957599662,-19.74443736443982,1219.5849236641222,2024
Madison,2023,891,68051.5,1309.3025135375412,1363.1556836783473,1325.5154583955264,37.64022528282089,,2025
Madison,2024,818,67072.0,1219.5849236641222,1309.3025135375412,1363.1556836783473,-53.853170140806014,,2026
Monroe,2010,26186,744389.0,3517.7843842399607,,,,3404.451216129997,2012
Monroe,2011,25666,745382.4,3443.3332474713648,3517.7843842399607,,,3087.630584723053,2013
Monroe,2012,25410,746375.8,3404.451216129997,3443.3332474713648,3517.7843842399607,-74.45113676859592,2849.8217308026883,2014
Monroe,2013,23076,747369.2,3087.630584723053,3404.451216129997,3443.3332474713648,-38.882031341367565,2739.6858102157053,2015
Monroe,2014,21327,748362.6,2849.8217308026883,3087.630584723053,3404.451216129997,-316.82063140694436,2508.6164766924708,2016
Monroe,2015,20530,749356.0,2739.6858102157053,2849.8217308026883,3087.630584723053,-237.80885392036453,2538.136314898148,2017
Monroe,2016,18767,748101.6,2508.6164766924708,2739.6858102157053,2849.8217308026883,-110.13592058698305,2236.609580993808,2018
Monroe,2017,18956,746847.2,2538.136314898148,2508.6164766924708,2739.6858102157053,-231.0693335232345,2226.272351392861,2019
Monroe,2018,16676,745592.8,2236.609580993808,2538.136314898148,2508.6164766924708,29.519838205677388,2178.892292123098,2020
Monroe,2019,16571,744338.4,2226.272351392861,2236.609580993808,2538.136314898148,-301.5267339043403,2022.9056024342485,2021
Monroe,2020,16191,743084.0,2178.892292123098,2226.272351392861,2236.609580993808,-10.337229600947012,2345.771979407284,2022
Monroe,2021,15078,745363.5,2022.9056024342485,2178.892292123098,2226.272351392861,-47.380059269763024,2851.761348672696,2023
Monroe,2022,17538,747643.0,2345.771979407284,2022.9056024342485,2178.892292123098,-155.9866896888493,2294.8622843331977,2024
Monroe,2023,21386,749922.5,2851.761348672696,2345.771979407284,2022.9056024342485,322.8663769730356,,2025
Monroe,2024,17262,752202.0,2294.8622843331977,2851.761348672696,2345.771979407284,505.9893692654118,,2026
Montgomery,2010,1163,49779.0,2336.326563410273,,,,2378.513027581912,2012
Montgomery,2011,1084,49779.0,2177.6251029550617,2336.326563410273,,,2259.98915205207,2013
Montgomery,2012,1184,49779.0,2378.513027581912,2177.6251029550617,2336.326563410273,-158.70146045521142,2513.107937081902,2014
Montgomery,2013,1125,49779.0,2259.98915205207,2378.513027581912,2177.6251029550617,200.88792462685024,2541.232246529661,2015
Montgomery,2014,1251,49779.0,2513.107937081902,2259.98915205207,2378.513027581912,-118.52387552984192,2061.1086510204905,2016
Montgomery,2015,1265,49779.0,2541.232246529661,2513.107937081902,2259.98915205207,253.118785029832,1893.717858223253,2017
Montgomery,2016,1024,49682.0,2061.1086510204905,2541.232246529661,2513.107937081902,28.12430944775906,1456.9188490139024,2018
Montgomery,2017,939,49585.0,1893.717858223253,2061.1086510204905,2541.232246529661,-480.1235955091706,1392.9663298981598,2019
Montgomery,2018,721,49488.0,1456.9188490139024,1893.717858223253,2061.1086510204905,-167.3907927972375,1553.941656185337,2020
Montgomery,2019,688,49391.0,1392.9663298981598,1456.9188490139024,1893.717858223253,-436.7990092093505,1347.0199212885948,2021
Montgomery,2020,766,49294.0,1553.941656185337,1392.9663298981598,1456.9188490139024,-63.95251911574269,1355.134499127683,2022
Montgomery,2021,664,49294.0,1347.0199212885948,1553.941656185337,1392.9663298981598,160.97532628717727,1351.077210208139,2023
Montgomery,2022,668,49294.0,1355.134499127683,1347.0199212885948,1553.941656185337,-206.92173489674224,1273.9887207368035,2024
Montgomery,2023,666,49294.0,1351.077210208139,1355.134499127683,1347.0199212885948,8.11457783908827,,2025
Montgomery,2024,628,49294.0,1273.9887207368035,1351.077210208139,1355.134499127683,-4.057288919544135,,2026
Nassau,2010,20320,1341245.0,1515.0103075873535,,,,1453.6699243230205,2012
Nassau,2011,19374,1343918.4,1441.605383183979,1515.0103075873535,,,1384.6796019047997,2013
Nassau,2012,19575,1346591.8,1453.6699243230205,1441.605383183979,1515.0103075873535,-73.40492440337448,1307.7516981910273,2014
Nassau,2013,18683,1349265.2,1384.6796019047997,1453.6699243230205,1441.605383183979,12.064541139041467,1207.578258571458,2015
Nassau,2014,17680,1351938.6,1307.7516981910273,1384.6796019047997,1453.6699243230205,-68.99032241822079,1127.6723169362979,2016
Nassau,2015,16358,1354612.0,1207.578258571458,1307.7516981910273,1384.6796019047997,-76.92790371377237,1036.0576703100514,2017
Nassau,2016,15278,1354826.2,1127.6723169362979,1207.578258571458,1307.7516981910273,-100.17343961956931,987.4897307118529,2018
Nassau,2017,14039,1355040.4,1036.0576703100514,1127.6723169362979,1207.578258571458,-79.90594163516016,987.6287820125406,2019
Nassau,2018,13383,1355254.6,987.4897307118529,1036.0576703100514,1127.6723169362979,-91.61464662624644,903.1609897003947,2020
